,Microcosm,Mean_exp(H),N.acetylglucosaminidase.mean
1,M01,11.07039854,9.045979731
2,M02,11.80609936,20.85427716
3,M03,6.393472006,31.01856407
4,M04,10.62159643,3.863091737
5,M05,15.29882995,10.83339441
6,M06,15.9993866,13.43022939
7,M07,14.5797265,16.05239448
8,M08,12.26197803,16.41216784
9,M09,6.002840853,50.88566008
10,M10,10.30492311,21.38537077
